Distance_m;Rayleigh_Peak_Amplitude;Brillouin_Peak_Amplitude;Rayleigh_Peak_Bin;Brillouin_Peak_Bin
51.20;0.188213;0.207395;104.0;205.000000
51.30;0.187880;0.207117;104.0;205.000000
51.40;0.187367;0.206964;104.0;205.000000
51.50;0.186486;0.206587;104.0;205.000000
51.60;0.185475;0.206367;104.0;206.000000
51.70;0.184079;0.206246;104.0;206.000000
51.80;0.182642;0.205859;104.0;207.000000
51.90;0.181219;0.205447;104.0;207.000000
52.00;0.179903;0.204927;104.0;207.000000
52.10;0.178457;0.204570;103.0;207.000000
52.20;0.177194;0.204375;103.0;207.000000
52.30;0.176270;0.204383;103.0;207.000000
52.40;0.175550;0.204619;103.0;207.000000
52.50;0.175037;0.205128;103.0;207.000000
52.60;0.174884;0.205590;103.0;207.000000
52.70;0.174803;0.205712;103.0;208.000000
52.80;0.174459;0.205469;103.0;208.000000
52.90;0.173839;0.204971;103.0;207.000000
53.00;0.173266;0.204348;103.0;207.000000
53.10;0.173145;0.203964;103.0;207.000000
53.20;0.173460;0.204030;103.0;208.000000
53.30;0.174369;0.204445;103.0;208.000000
53.40;0.175849;0.205221;103.0;207.000000
53.50;0.177563;0.206586;103.0;207.000000
53.60;0.179523;0.208089;103.0;206.000000
53.70;0.181814;0.209498;103.0;206.000000
53.80;0.184156;0.210460;103.0;206.000000
53.90;0.186245;0.211178;103.0;206.000000
54.00;0.187726;0.211455;103.0;206.000000
54.10;0.188136;0.211031;103.0;206.000000
54.20;0.187518;0.209989;103.0;206.000000
54.30;0.186081;0.208573;103.0;206.000000
54.40;0.184186;0.207274;103.0;206.000000
54.50;0.182152;0.205799;103.0;206.000000
54.60;0.180191;0.204423;103.0;206.000000
54.70;0.178641;0.203549;103.0;206.000000
54.80;0.177572;0.203320;103.0;206.000000
54.90;0.176835;0.203761;103.0;206.000000
55.00;0.176151;0.204548;103.0;206.000000
55.10;0.175217;0.205506;103.0;206.000000
55.20;0.174084;0.206748;103.0;206.000000
55.30;0.172822;0.207917;104.0;206.000000
55.40;0.171479;0.208547;104.0;206.000000
55.50;0.170330;0.208566;104.0;206.000000
55.60;0.169733;0.208208;104.0;206.000000
55.70;0.170130;0.207515;104.0;206.000000
55.80;0.170868;0.206669;104.0;206.000000
55.90;0.171992;0.205845;104.0;206.000000
56.00;0.173198;0.204990;104.0;206.000000
56.10;0.174174;0.204381;104.0;206.000000
56.20;0.174873;0.204516;104.0;206.000000
56.30;0.175423;0.204866;104.0;206.000000
56.40;0.176267;0.205129;104.0;206.000000
56.50;0.177443;0.205243;104.0;206.000000
56.60;0.178870;0.205445;104.0;206.000000
56.70;0.180375;0.205658;104.0;206.000000
56.80;0.181856;0.205573;103.0;206.000000
56.90;0.183428;0.205710;103.0;206.000000
57.00;0.184616;0.205910;103.0;206.000000
57.10;0.185495;0.205985;103.0;205.000000
57.20;0.186102;0.205805;103.0;205.000000
57.30;0.186283;0.205273;103.0;205.000000
57.40;0.186298;0.204475;104.0;205.000000
57.50;0.185867;0.204135;104.0;206.000000
57.60;0.185077;0.204058;104.0;206.000000
57.70;0.183981;0.204067;104.0;206.000000
57.80;0.182791;0.203851;104.0;206.000000
57.90;0.181994;0.203294;103.0;206.000000
58.00;0.181604;0.202801;103.0;206.000000
58.10;0.181407;0.202677;103.0;206.000000
58.20;0.181606;0.202731;103.0;206.000000
58.30;0.182160;0.202830;103.0;206.000000
58.40;0.182663;0.202848;103.0;206.000000
58.50;0.182945;0.202874;103.0;206.000000
58.60;0.183084;0.202889;103.0;206.000000
58.70;0.182934;0.203067;103.0;206.000000
58.80;0.182184;0.203411;103.0;206.000000
58.90;0.181328;0.203847;103.0;206.000000
59.00;0.180687;0.204411;103.0;206.000000
59.10;0.180192;0.204774;103.0;206.000000
59.20;0.179739;0.204875;104.0;207.000000
59.30;0.179361;0.204922;104.0;206.000000
59.40;0.178915;0.205102;104.0;206.000000
59.50;0.178410;0.205559;104.0;206.000000
